query,target,similarity
DB00607,DB01059,0.4071170084439083
DB00607,DB09128,0.35025706940874035
DB00607,DB04908,0.32989690721649484
DB00607,DB09083,0.33130904183535764
DB00607,DB08820,0.4237710018668326
DB00607,DB08815,0.3685897435897436
DB00607,DB09143,0.4020100502512563
DB00607,DB06237,0.38584615384615384
DB00607,DB01166,0.36369426751592354
DB01059,DB01166,0.3231197771587744
DB01059,DB06237,0.3523873570948218
DB01059,DB09143,0.37595024187975123
DB01059,DB08815,0.35673352435530087
DB01059,DB09083,0.27540500736377027
DB01059,DB04908,0.403387220939184
DB01059,DB09128,0.39325842696629215
DB01059,DB08820,0.5018341892883346
DB04908,DB08820,0.3239017125837677
DB04908,DB01166,0.284251968503937
DB04908,DB06237,0.2903703703703704
DB04908,DB09143,0.30652503793626706
DB04908,DB08815,0.3041733547351525
DB04908,DB09083,0.2325189553496209
DB06237,DB01166,0.3464100666173205
DB08815,DB01166,0.3012232415902141
DB08815,DB06237,0.3043165467625899
DB08815,DB09143,0.30875912408759126
DB08820,DB01166,0.36597938144329895
DB08820,DB06237,0.37578726382085376
DB08820,DB09143,0.39198855507868385
DB08820,DB08815,0.318830242510699
DB09083,DB01166,0.33564614050303554
DB09083,DB08820,0.2956989247311828
DB09083,DB08815,0.26986754966887416
DB09083,DB09143,0.2883096366508689
DB09083,DB06237,0.303078137332281
DB09128,DB06237,0.31194690265486724
DB09128,DB04908,0.3598290598290598
DB09128,DB09083,0.2733446519524618
DB09128,DB08820,0.36261261261261263
DB09128,DB08815,0.41206457094307564
DB09128,DB09143,0.3255463451394122
DB09128,DB01166,0.3164956590370955
DB09143,DB06237,0.431784107946027
DB09143,DB01166,0.3237674760853569
