"nodeA","foodID_CompoundID_Compound_Name","scr","method"
"DB01080","FOOD00012  _  FDB012858  _  Oleic acid",1.35979125586455,"SP_2_disjoint"
"DB01080","FOOD00015  _  FDB012858  _  Oleic acid",1.35979125586455,"SP_2_disjoint"
"DB01080","FOOD00016  _  FDB012858  _  Oleic acid",1.35979125586455,"SP_2_disjoint"
"DB01080","FOOD00017  _  FDB012858  _  Oleic acid",1.35979125586455,"SP_2_disjoint"
"DB01080","FOOD00021  _  FDB012858  _  Oleic acid",1.35979125586455,"SP_2_disjoint"
"DB03756","FOOD00012  _  FDB012858  _  Oleic acid",1.34065345300424,"SP_2_disjoint"
"DB03756","FOOD00015  _  FDB012858  _  Oleic acid",1.34065345300424,"SP_2_disjoint"
"DB03756","FOOD00016  _  FDB012858  _  Oleic acid",1.34065345300424,"SP_2_disjoint"
"DB03756","FOOD00017  _  FDB012858  _  Oleic acid",1.34065345300424,"SP_2_disjoint"
"DB03756","FOOD00021  _  FDB012858  _  Oleic acid",1.34065345300424,"SP_2_disjoint"
"DB00273","FOOD00012  _  FDB001131  _  Sucrose",1.16027596776175,"AA"
"DB00273","FOOD00012  _  FDB001182  _  Cellulose",1.16027596776175,"AA"
"DB00273","FOOD00012  _  FDB011824  _  beta-D-Glucopyranose",1.16027596776175,"AA"
"DB00273","FOOD00012  _  FDB012528  _  D-Fructose",1.16027596776175,"AA"
"DB00273","FOOD00016  _  FDB001182  _  Cellulose",1.16027596776175,"AA"
"DB00273","FOOD00017  _  FDB001141  _  Inulin",1.16027596776175,"AA"
"DB00273","FOOD00019  _  FDB001193  _  Maltose",1.16027596776175,"AA"
"DB00273","FOOD00020  _  FDB001141  _  Inulin",1.16027596776175,"AA"
"DB00273","FOOD00021  _  FDB001131  _  Sucrose",1.16027596776175,"AA"
"DB00273","FOOD00022  _  FDB001128  _  Starch",1.16027596776175,"AA"
"DB00273","FOOD00012  _  FDB001131  _  Sucrose",3,"CN"
"DB00273","FOOD00012  _  FDB001182  _  Cellulose",3,"CN"
"DB00273","FOOD00012  _  FDB011824  _  beta-D-Glucopyranose",3,"CN"
"DB00273","FOOD00012  _  FDB012528  _  D-Fructose",3,"CN"
"DB00273","FOOD00016  _  FDB001182  _  Cellulose",3,"CN"
"DB00273","FOOD00017  _  FDB001141  _  Inulin",3,"CN"
"DB00273","FOOD00019  _  FDB001193  _  Maltose",3,"CN"
"DB00273","FOOD00020  _  FDB001141  _  Inulin",3,"CN"
"DB00273","FOOD00021  _  FDB001131  _  Sucrose",3,"CN"
"DB00273","FOOD00022  _  FDB001128  _  Starch",3,"CN"
"DB01080","FOOD00121  _  FDB012858  _  Oleic acid",0.0474779538344898,"L3"
"DB01080","FOOD00042  _  FDB012760  _  (Z,Z)-9,12-Octadecadienoic acid",0.0395765965713482,"L3"
"DB01080","FOOD00326  _  FDB012858  _  Oleic acid",0.0395765965713482,"L3"
"DB01080","FOOD00777  _  FDB003010  _  Dodecanoic acid",0.0271964146610211,"L3"
"DB00273","FOOD00439  _  FDB001128  _  Starch",0.0156104928727553,"L3"
"DB00273","FOOD00509  _  FDB001128  _  Starch",0.0156104928727553,"L3"
"DB00273","FOOD00510  _  FDB001128  _  Starch",0.0156104928727553,"L3"
"DB00273","FOOD00063  _  FDB001128  _  Starch",0.0156104928727553,"L3"
"DB00273","FOOD00079  _  FDB001128  _  Starch",0.0156104928727553,"L3"
"DB00273","FOOD00139  _  FDB001128  _  Starch",0.0156104928727553,"L3"
"DB00996","FOOD00062  _  FDB012858  _  Oleic acid",0.333333333333333,"RA"
"DB00996","FOOD00525  _  FDB012858  _  Oleic acid",0.333333333333333,"RA"
"DB00273","FOOD00012  _  FDB001131  _  Sucrose",0.226190476190476,"RA"
"DB00273","FOOD00012  _  FDB001182  _  Cellulose",0.226190476190476,"RA"
"DB00273","FOOD00012  _  FDB011824  _  beta-D-Glucopyranose",0.226190476190476,"RA"
"DB00273","FOOD00012  _  FDB012528  _  D-Fructose",0.226190476190476,"RA"
"DB00273","FOOD00016  _  FDB001182  _  Cellulose",0.226190476190476,"RA"
"DB00273","FOOD00017  _  FDB001141  _  Inulin",0.226190476190476,"RA"
"DB00273","FOOD00019  _  FDB001193  _  Maltose",0.226190476190476,"RA"
"DB00273","FOOD00020  _  FDB001141  _  Inulin",0.226190476190476,"RA"
